"","X.1","Indicator.Code","total_obs","yearmean","yearmedian","n_country","n_years","countryobs_avg","countryobs_max","yearlatest_mean","yearlatest_median","yearlatest","yearfirst_mean","yearfirst_median","yearfirst","yearmean_mean","yearmean_median","n_lmic","span_years","cov_years","nonmiss","nonmiss_tot","nonmiss_tot2000","p_lmic","uniquevisitors","pageviews","visitors","X","Indicator.Name","type","primary","datatopic","ncountry_score","plmic_score","yearlatest_score","yearlatestmedian_score","spanyears_score","nonmiss_score","uniquevisitors_score","frontier_score","country_score","p_lmic_score","yearlatest_median_score","span_years_score","country_score_hybrid","p_lmic_score_hybrid","yearlatest_median_score_hybrid","yearlatest_score_hybrid","span_years_score_hybrid","uniquevisitors_score_hybrid","nonmiss_score_hybrid","loose","median","stringent","threshold_score","hybrid_score","geographic_score","temporal_score","completeness_score","usage_score","threshold_score_wgtd","geographic_score_hybrid","temporal_score_hybrid","completeness_score_hybrid","usage_score_hybrid","hybrid_score_wgtd"
"219",219,"EN.ATM.CO2E.EG.ZS",5895,1992.85581000848,1994,173,56,43.2758269720102,56,2014.05106022053,2014,2015,1971.48854961832,1971,1960,1992.85581000848,1992.5,114,56,98.21,60.85,44.53,49,65.9,4909,7756,5521,387,"CO2 intensity (kg per kg of oil equivalent energy use)","Derived",0,"Climate Change",79.7235023041475,65.9,2,68.4210526315789,93.3333333333333,4,4,64.9373173717704,4,4,3,4,3.71052631578947,3.02571428571429,2.5,2,3.91111111111111,3.02765702528589,3.44071428571429,"No","No","Yes",3.57142857142857,3.08796043194501,4,3,4,4,3.75,3.36812030075188,2.8037037037037,3.44071428571429,3.02765702528589,3.16004882886394
"220",220,"EN.ATM.CO2E.GF.KT",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,2471,3759,2724,388,"CO2 emissions from gaseous fuel consumption (kt)","Disaggregation",0,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,72.9793914509777,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.01236380059843,3.83028571428571,"No","No","Yes",3.71428571428571,3.34174191064761,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.01236380059843,3.37796647228829
"221",221,"EN.ATM.CO2E.GF.ZS",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,685,1067,786,389,"CO2 emissions from gaseous fuel consumption (% of total)","Derived",0,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,71.1222485938348,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.00116047849351,3.83028571428571,"No","No","Yes",3.71428571428571,3.34014143606119,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.00116047849351,3.37516564176206
"222",222,"EN.ATM.CO2E.KD.GD",8442,1992.13776356314,1994,198,57,48.6183368869936,57,2015.94693200663,2016,2016,1968.32859511964,1960,1960,1992.13776356314,1988,131,57,98.25,74.8,63.78,71.19,66.16,3763,7491,4368,390,"CO2 emissions (kg per 2010 US$ of GDP)","Derived",0,"Climate Change",91.2442396313364,66.16,3,78.9473684210526,95,4,4,71.4026106741508,4,4,4,4,3.875,3.03314285714286,3.2,2.5,3.93333333333333,3.02046833148284,3.64,"No","No","Yes",3.85714285714286,3.314563503137,4,3.66666666666667,4,4,3.91666666666667,3.45407142857143,3.21111111111111,3.64,3.02046833148284,3.33141271779134
"223",223,"EN.ATM.CO2E.KT",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,48357,112141,63112,391,"CO2 emissions (kt)","Primary",1,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,74.9793914509777,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.30020010412942,3.83028571428571,"No","No","Yes",3.71428571428571,3.38286138258061,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.30020010412942,3.44992554817104
"224",224,"EN.ATM.CO2E.LF.KT",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,6182,9965,6952,392,"CO2 emissions from liquid fuel consumption (kt)","Disaggregation",0,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,74.1222485938348,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.03564237189258,3.83028571428571,"No","No","Yes",3.71428571428571,3.34506742083249,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.03564237189258,3.38378611511183
"225",225,"EN.ATM.CO2E.LF.ZS",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,927,1409,1028,393,"CO2 emissions from liquid fuel consumption (% of total)","Derived",0,"Environment",95.3917050691244,64.73,3,78.9473684210526,95,4,4,71.5508200224062,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.00267850982016,3.83028571428571,"No","No","Yes",3.71428571428571,3.34035829767928,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.00267850982016,3.37554514959372
"226",226,"EN.ATM.CO2E.PC",10387,1989.43987676904,1991,207,57,54.0189660152113,57,2015.95898719553,2016,2016,1962.91383460094,1960,1960,1989.43987676904,1988,134,57,98.25,88.03,78.47,75.53,64.73,159917,319557,195243,394,"CO2 emissions (metric tons per capita)","Derived",0,"Environment",95.3917050691244,64.73,3,78.9473684210526,95,4,4,75.1093914509777,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,4,3.829,"No","No","Yes",3.71428571428571,3.48264912280702,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.829,4,3.62455409356725
"227",227,"EN.ATM.CO2E.PP.GD",4898,2003.41833401388,2004,195,27,26.0065332788893,27,2015.92160065333,2016,2016,1990.91506737444,1990,1990,2003.41833401388,2003,130,27,96.3,93.03,37,70.22,66.67,11929,22171,13747,395,"CO2 emissions (kg per PPP $ of GDP)","Derived",0,"Climate Change",89.8617511520737,66.67,3,78.9473684210526,45,4,4,67.596540891399,4,4,4,4,3.85526315789474,3.04771428571429,3.2,2.5,3.26666666666667,3.07169247947208,3.90042857142857,"No","No","Yes",3.85714285714286,3.26310930873948,4,3.66666666666667,4,4,3.91666666666667,3.45148872180451,2.98888888888889,3.90042857142857,3.07169247947208,3.35312466539851
"228",228,"EN.ATM.CO2E.PP.GD.KD",4837,2003.42402315485,2004,191,27,26.1081248707877,27,2015.97808559024,2016,2016,1990.86996071945,1990,1990,2003.42402315485,2003,126,27,96.3,93.79,36.54,69.32,65.97,6378,11178,7189,396,"CO2 emissions (kg per 2011 PPP $ of GDP)","Derived",0,"Climate Change",88.0184331797235,65.97,3,78.9473684210526,45,4,4,67.056066895349,4,4,4,4,3.82894736842105,3.02771428571429,3.2,2.5,3.26666666666667,3.03687185181003,3.91128571428571,"No","No","Yes",3.85714285714286,3.25306941241396,4,3.66666666666667,4,4,3.91666666666667,3.42833082706767,2.98888888888889,3.91128571428571,3.03687185181003,3.34134432051308
"229",229,"EN.ATM.CO2E.SF.KT",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,1548,2359,1708,397,"CO2 emissions from solid fuel consumption (kt)","Disaggregation",0,"Environment",95.3917050691244,64.73,3,78.9473684210526,95,4,4,72.1222485938348,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.00657395384432,3.83028571428571,"No","No","Yes",3.71428571428571,3.34091478968274,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.00657395384432,3.37651901059976
"230",230,"EN.ATM.CO2E.SF.ZS",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,2950,4463,3242,398,"CO2 emissions from solid fuel consumption (% of total)","Derived",0,"Environment",95.3917050691244,64.73,3,78.9473684210526,95,4,4,73.1222485938348,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.01536849896811,3.83028571428571,"No","No","Yes",3.71428571428571,3.34217115327185,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.01536849896811,3.37871764688071
"231",231,"EN.ATM.GHGO.KT.CE",7971,1990.74783590516,1991,196,43,41.6824739681345,43,2011.43620624765,2012,2012,1970.15518755489,1970,1970,1990.74783590516,1991,128,43,97.67,94.58,60.22,51.33,65.31,565,828,634,399,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","Derived",0,"Environment",90.3225806451613,65.31,1,57.8947368421053,71.6666666666667,4,4,59.8724739267524,4,4,2,4,3.86184210526316,3.00885714285714,1.66666666666667,0.999503229011426,3.62222222222222,3.00040773568691,3.92257142857143,"Yes","Yes","Yes",3.28571428571429,2.86886721861128,4,2.33333333333333,4,4,3.58333333333333,3.43534962406015,2.09613070596677,3.92257142857143,3.00040773568691,3.11361487357131
"232",232,"EN.ATM.GHGO.ZG",4135,2001.49915356711,2001,188,22,21.9949214026602,22,2012,2012,2012,1991,1991,1991,2001.49915356711,2001.5,121,22,95.45,99.98,31.24,53.61,64.36,193,248,202,400,"Other greenhouse gas emissions (% change from 1990)","Primary",1,"Environment",86.6359447004608,64.36,1,57.8947368421053,36.6666666666667,4,2,54.2672402203666,4,3,2,4,3.80921052631579,2.95733333333333,1.66666666666667,0.999503229011426,3.15555555555556,1.93,3.99971428571429,"Yes","Yes","Yes",2.85714285714286,2.64542622808529,3.5,2.33333333333333,4,2,2.95833333333333,3.38327192982456,1.94057515041122,3.99971428571429,1.93,2.81339034148752
"233",233,"EN.ATM.GHGT.KT.CE",8061,1990.6953231609,1991,199,43,41.5865277260886,43,2011.33184468428,2012,2012,1970.15345490634,1970,1970,1990.6953231609,1991,130,43,97.67,94.2,60.9,51.61,65.33,15490,29151,18902,401,"Total greenhouse gas emissions (kt of CO2 equivalent)","Primary",1,"Climate Change",91.705069124424,65.33,1,57.8947368421053,71.6666666666667,4,4,64.1614008523613,4,4,2,4,3.88157894736842,3.00942857142857,1.66666666666667,0.999503229011426,3.62222222222222,3.09403012225798,3.91714285714286,"Yes","Yes","Yes",3.28571428571429,2.88436751658545,4,2.33333333333333,4,4,3.58333333333333,3.4455037593985,2.09613070596677,3.91714285714286,3.09403012225798,3.13820186119153
"234",234,"EN.ATM.GHGT.ZG",3949,2001.35857179033,2001,189,22,21.5236768802228,22,2011.7776652317,2012,2012,1991.000759686,1991,1991,2001.35857179033,2001.5,127,22,95.45,94.97,29.83,50.45,67.2,3545,5930,3928,402,"Total greenhouse gas emissions (% change from 1990)","Derived",0,"Environment",87.0967741935484,67.2,1,57.8947368421053,36.6666666666667,4,4,57.4516444336648,4,4,2,4,3.81578947368421,3.06285714285714,1.66666666666667,0.999503229011426,3.15555555555556,3.01910084871751,3.92814285714286,"Yes","Yes","Yes",3.28571428571429,2.80680225337648,4,2.33333333333333,4,4,3.58333333333333,3.43932330827068,1.94057515041122,3.92814285714286,3.01910084871751,3.08178554113557
"235",235,"EN.ATM.HFCG.KT.CE",677,2002.62186115214,2005,137,5,4.98818316100443,5,2010,2010,2010,1990.05908419498,1990,1990,2002.62186115214,2002.6,86,21,19.05,23.53,5.11,11.89,62.77,2256,3213,2457,403,"HFC gas emissions (thousand metric tons of CO2 equivalent)","Primary",1,"Climate Change",63.1336405529954,62.77,1,47.3684210526316,35,3,4,38.3526754674705,4,3,2,4,3.47368421052632,2.85133333333333,1,0.998509687034277,3.13333333333333,3.01101513640327,2.353,"Yes","Yes","Yes",3,2.40298224294722,3.5,2.33333333333333,3,4,3.20833333333333,3.16250877192982,1.71061434012254,2.353,3.01101513640327,2.55928456211391
"236",236,"EN.ATM.METH.AG.KT.CE",8680,1988.5,1988.5,217,40,40,40,2008,2008,2008,1969,1969,1969,1988.5,1988.5,135,40,97.5,100,65.57,42.86,62.21,2168,3392,2391,404,"Agricultural methane emissions (thousand metric tons of CO2 equivalent)","Derived",0,"Environment",100,62.21,1,36.8421052631579,66.6666666666667,4,4,54.9598245614035,4,3,1,4,4,2.814,0.999004975124378,0.997516145057129,3.55555555555556,3.01046312501176,4,"Yes","Yes","Yes",3,2.76807711439269,3.5,2,4,4,3.375,3.407,1.85069222524569,4,3.01046312501176,3.06703883756436
"237",237,"EN.ATM.METH.AG.ZS",7921,1989.00593359424,1989,204,39,38.9823254639566,39,2008,2008,2008,1970.01009973488,1970,1970,1989.00593359424,1989,131,39,97.44,99.56,59.84,40.16,64.22,1919,3097,2203,405,"Agricultural methane emissions (% of total)","Derived",0,"Environment",94.0092165898618,64.22,1,36.8421052631579,65,4,4,53.9473316932885,4,3,1,4,3.91447368421053,2.948,0.999004975124378,0.997516145057129,3.53333333333333,3.00890118368806,3.99371428571429,"Yes","Yes","Yes",3,2.77070622958967,3.5,2,4,4,3.375,3.43123684210526,1.84328481783828,3.99371428571429,3.00890118368806,3.06928428233647
"238",238,"EN.ATM.METH.EG.KT.CE",8680,1988.5,1988.5,217,40,40,40,2008,2008,2008,1969,1969,1969,1988.5,1988.5,135,40,97.5,100,65.57,42.86,62.21,1279,1984,1431,406,"Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","Derived",0,"Environment",100,62.21,1,36.8421052631579,66.6666666666667,4,4,54.3883959899749,4,3,1,4,4,2.814,0.999004975124378,0.997516145057129,3.55555555555556,3.00488655538619,4,"Yes","Yes","Yes",3,2.76728046158904,3.5,2,4,4,3.375,3.407,1.85069222524569,4,3.00488655538619,3.06564469515797
"239",239,"EN.ATM.METH.EG.ZS",7921,1989.00593359424,1989,204,39,38.9823254639566,39,2008,2008,2008,1970.01009973488,1970,1970,1989.00593359424,1989,131,39,97.44,99.56,59.84,40.16,64.22,661,957,733,407,"Energy related methane emissions (% of total)","Derived",0,"Environment",94.0092165898618,64.22,1,36.8421052631579,65,4,4,52.5187602647171,4,3,1,4,3.91447368421053,2.948,0.999004975124378,0.997516145057129,3.53333333333333,3.00100992993219,3.99371428571429,"Yes","Yes","Yes",3,2.76957890762455,3.5,2,4,4,3.375,3.43123684210526,1.84328481783828,3.99371428571429,3.00100992993219,3.0673114688975
"240",240,"EN.ATM.METH.KT.CE",8736,1991.01098901099,1991,206,43,42.9686355311355,43,2011.9983974359,2012,2012,1970.0206043956,1970,1970,1991.01098901099,1991,133,43,97.67,98.62,66,58.04,64.56,5262,9386,6348,408,"Methane emissions (kt of CO2 equivalent)","Primary",1,"Climate Change",94.9308755760369,64.56,1,57.8947368421053,71.6666666666667,4,4,64.2865160597346,4,3,2,4,3.92763157894737,2.97066666666667,1.66666666666667,0.999503229011426,3.62222222222222,3.02987134370864,3.98028571428571,"Yes","Yes","Yes",3.14285714285714,2.88526391735839,3.5,2.33333333333333,4,4,3.45833333333333,3.44914912280702,2.09613070596677,3.98028571428571,3.02987134370864,3.13885922169204
"241",241,"EN.ATM.METH.ZG",4488,2001.5,2001.5,204,22,22,22,2012,2012,2012,1991,1991,1991,2001.5,2001.5,131,22,95.45,100,33.9,58.2,64.22,2330,3176,2447,409,"Methane emissions (% change from 1990)","Derived",0,"Environment",94.0092165898618,64.22,1,57.8947368421053,36.6666666666667,4,4,58.1605647759953,4,3,2,4,3.91447368421053,2.948,1.66666666666667,0.999503229011426,3.15555555555556,3.01147932780067,4,"Yes","Yes","Yes",3.14285714285714,2.81366835189212,3.5,2.33333333333333,4,4,3.45833333333333,3.43123684210526,1.94057515041122,4,3.01147932780067,3.09582283007929
"242",242,"EN.ATM.NOXE.AG.KT.CE",8680,1988.5,1988.5,217,40,40,40,2008,2008,2008,1969,1969,1969,1988.5,1988.5,135,40,97.5,100,65.57,42.86,62.21,916,1432,1033,410,"Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)","Derived",0,"Environment",100,62.21,1,36.8421052631579,66.6666666666667,4,4,53.8169674185464,4,3,1,4,4,2.814,0.999004975124378,0.997516145057129,3.55555555555556,3.00260950839622,4,"Yes","Yes","Yes",3,2.7669551691619,3.5,2,4,4,3.375,3.407,1.85069222524569,4,3.00260950839622,3.06507543341048
"243",243,"EN.ATM.NOXE.AG.ZS",7960,1989.00590452261,1989,205,39,38.9824120603015,39,2008,2008,2008,1970.01005025126,1970,1970,1989.00590452261,1989,131,39,97.44,99.56,60.13,40.36,63.9,943,1517,1094,411,"Agricultural nitrous oxide emissions (% of total)","Derived",0,"Agriculture & Rural Development",94.4700460829493,63.9,1,36.8421052631579,65,4,4,53.2531644780153,4,3,1,4,3.92105263157895,2.92666666666667,0.999004975124378,0.997516145057129,3.53333333333333,3.0027788755277,3.99371428571429,"Yes","Yes","Yes",3,2.76772384471463,3.5,2,4,4,3.375,3.42385964912281,1.84328481783828,3.99371428571429,3.0027788755277,3.06590940705077
"244",244,"EN.ATM.NOXE.EG.KT.CE",8680,1988.5,1988.5,217,40,40,40,2008,2008,2008,1969,1969,1969,1988.5,1988.5,135,40,97.5,100,65.57,42.86,62.21,298,502,356,412,"Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","Derived",0,"Environment",100,62.21,1,36.8421052631579,66.6666666666667,4,3,52.8169674185464,4,3,1,4,4,2.814,0.999004975124378,0.997516145057129,3.55555555555556,2.32666666666667,4,"Yes","Yes","Yes",2.85714285714286,2.67039190605768,3.5,2,4,3,3.125,3.407,1.85069222524569,4,2.32666666666667,2.89608972297809
"245",245,"EN.ATM.NOXE.EG.ZS",7960,1989.00590452261,1989,205,39,38.9824120603015,39,2008,2008,2008,1970.01005025126,1970,1970,1989.00590452261,1989,131,39,97.44,99.56,60.13,40.36,63.9,238,346,253,413,"Nitrous oxide emissions in energy sector (% of total)","Derived",0,"Environment",94.4700460829493,63.9,1,36.8421052631579,65,4,3,51.6817359065867,4,3,1,4,3.92105263157895,2.92666666666667,0.999004975124378,0.997516145057129,3.53333333333333,2.12666666666667,3.99371428571429,"Yes","Yes","Yes",2.85714285714286,2.64256495773449,3.5,2,4,3,3.125,3.42385964912281,1.84328481783828,3.99371428571429,2.12666666666667,2.84688135483551
"246",246,"EN.ATM.NOXE.KT.CE",8779,1991.01093518624,1991,207,43,42.9687891559403,43,2011.99840528534,2012,2012,1970.0205034742,1970,1970,1991.01093518624,1991,133,43,97.67,98.63,66.32,58.33,64.25,12786,20411,14002,414,"Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","Primary",1,"Climate Change",95.3917050691244,64.25,1,57.8947368421053,71.6666666666667,4,4,65.02377741589,4,3,2,4,3.93421052631579,2.95,1.66666666666667,0.999503229011426,3.62222222222222,3.07706831768256,3.98042857142857,"Yes","Yes","Yes",3.14285714285714,2.89001421904675,3.5,2.33333333333333,4,4,3.45833333333333,3.44210526315789,2.09613070596677,3.98042857142857,3.07706831768256,3.14893321455895
"247",247,"EN.ATM.NOXE.ZG",4510,2001.5,2001.5,205,22,22,22,2012,2012,2012,1991,1991,1991,2001.5,2001.5,131,22,95.45,100,34.07,58.48,63.9,647,1037,726,415,"Nitrous oxide emissions (% change from 1990)","Derived",0,"Climate Change",94.4700460829493,63.9,1,57.8947368421053,36.6666666666667,4,4,56.1806832750078,4,3,2,4,3.92105263157895,2.92666666666667,1.66666666666667,0.999503229011426,3.15555555555556,3.00092210993809,4,"Yes","Yes","Yes",3.14285714285714,2.81005240848819,3.5,2.33333333333333,4,4,3.45833333333333,3.42385964912281,1.94057515041122,4,3.00092210993809,3.09133922736803
"248",248,"EN.ATM.PFCG.KT.CE",677,2002.62186115214,2005,137,5,4.98818316100443,5,2010,2010,2010,1990.05908419498,1990,1990,2002.62186115214,2002.6,86,21,19.05,23.53,5.11,11.89,62.77,284,454,296,416,"PFC gas emissions (thousand metric tons of CO2 equivalent)","Primary",1,"Climate Change",63.1336405529954,62.77,1,47.3684210526316,35,3,3,35.9241040388991,4,3,2,4,3.47368421052632,2.85133333333333,1,0.998509687034277,3.13333333333333,2.28,2.353,"Yes","Yes","Yes",2.85714285714286,2.29855150917532,3.5,2.33333333333333,3,3,2.95833333333333,3.16250877192982,1.71061434012254,2.353,2.28,2.37653077801309
"254",254,"EN.ATM.SF6G.KT.CE",677,2002.62186115214,2005,137,5,4.98818316100443,5,2010,2010,2010,1990.05908419498,1990,1990,2002.62186115214,2002.6,86,21,19.05,23.53,5.11,11.89,62.77,563,738,602,422,"SF6 gas emissions (thousand metric tons of CO2 equivalent)","Primary",1,"Environment",63.1336405529954,62.77,1,47.3684210526316,35,3,4,36.2098183246134,4,3,2,4,3.47368421052632,2.85133333333333,1,0.998509687034277,3.13333333333333,3.00039518997347,2.353,"Yes","Yes","Yes",3,2.40146510774296,3.5,2.33333333333333,3,4,3.20833333333333,3.16250877192982,1.71061434012254,2.353,3.00039518997347,2.55662957550646
"257",257,"EN.CLC.GHGR.MT.CE",941,1999.13283740701,1999,162,20,17.5568544102019,20,2007.41126461211,2009,2009,1990.85441020191,1990,1990,1999.13283740701,1999.5,111,20,95,29.04,7.11,9.83,68.52,993,1584,1106,425,"GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","Primary",1,"Environment",74.6543778801843,68.52,1,42.1052631578947,33.3333333333333,3,4,38.5694725292494,4,4,1,4,3.63815789473684,3.10057142857143,0.999502487562189,0.998012916045703,3.11111111111111,3.00309251836379,2.904,"Yes","Yes","Yes",3,2.53634976519872,4,2,3,4,3.25,3.36936466165414,1.70287550490633,2.904,3.00309251836379,2.74483317123106
"259",259,"EN.CO2.BLDG.ZS",5902,1992.33107421213,1993,142,55,44.337851575737,55,2014,2014,2014,1970.66214842426,1971,1960,1992.33107421213,1992.5,89,55,98.18,75.57,44.59,46.37,62.68,1858,2763,2050,427,"CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)","Derived",0,"Environment",65.4377880184332,62.68,2,68.4210526315789,91.6666666666667,4,4,61.539358188097,4,3,3,4,3.50657894736842,2.84533333333333,2.5,1.5,3.88888888888889,3.00851853942804,3.651,"No","Yes","Yes",3.42857142857143,2.98575995843124,3.5,3,4,4,3.625,3.17595614035088,2.62962962962963,3.651,3.00851853942804,3.11627607735214
"260",260,"EN.CO2.ETOT.ZS",5902,1992.33107421213,1993,142,55,44.337851575737,55,2014,2014,2014,1970.66214842426,1971,1960,1992.33107421213,1992.5,89,55,98.18,75.57,44.59,46.37,62.68,3258,5212,3661,428,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)","Derived",0,"Environment",65.4377880184332,62.68,2,68.4210526315789,91.6666666666667,4,4,62.539358188097,4,3,3,4,3.50657894736842,2.84533333333333,2.5,1.5,3.88888888888889,3.01730053883839,3.651,"No","Yes","Yes",3.42857142857143,2.98701452977558,3.5,3,4,4,3.625,3.17595614035088,2.62962962962963,3.651,3.01730053883839,3.11847157720472
"261",261,"EN.CO2.MANF.ZS",5902,1992.33107421213,1993,142,55,44.337851575737,55,2014,2014,2014,1970.66214842426,1971,1960,1992.33107421213,1992.5,89,55,98.18,75.57,44.59,46.37,62.68,3636,5723,4118,429,"CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","Derived",0,"Environment",65.4377880184332,62.68,2,68.4210526315789,91.6666666666667,4,4,62.8250724738113,4,3,3,4,3.50657894736842,2.84533333333333,2.5,1.5,3.88888888888889,3.01967167867919,3.651,"No","Yes","Yes",3.42857142857143,2.98735326403855,3.5,3,4,4,3.625,3.17595614035088,2.62962962962963,3.651,3.01967167867919,3.11906436216492
"262",262,"EN.CO2.OTHX.ZS",5902,1992.33107421213,1993,142,55,44.337851575737,55,2014,2014,2014,1970.66214842426,1971,1960,1992.33107421213,1992.5,89,55,98.18,75.57,44.59,46.37,62.68,716,1053,777,430,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","Derived",0,"Environment",65.4377880184332,62.68,2,68.4210526315789,91.6666666666667,4,4,60.539358188097,4,3,3,4,3.50657894736842,2.84533333333333,2.5,1.5,3.88888888888889,3.00135493705188,3.651,"No","Yes","Yes",3.42857142857143,2.98473658666322,3.5,3,4,4,3.625,3.17595614035088,2.62962962962963,3.651,3.00135493705188,3.1144851767581
"263",263,"EN.CO2.TRAN.ZS",5902,1992.33107421213,1993,142,55,44.337851575737,55,2014,2014,2014,1970.66214842426,1971,1960,1992.33107421213,1992.5,89,55,98.18,75.57,44.59,46.37,62.68,8547,13519,9785,431,"CO2 emissions from transport (% of total fuel combustion)","Derived",0,"Environment",65.4377880184332,62.68,2,68.4210526315789,91.6666666666667,4,4,63.6822153309541,4,3,3,4,3.50657894736842,2.84533333333333,2.5,1.5,3.88888888888889,3.05047767803936,3.651,"No","Yes","Yes",3.42857142857143,2.99175412109,3.5,3,4,4,3.625,3.17595614035088,2.62962962962963,3.651,3.05047767803936,3.12676586200497
